0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-4770	hdfs-client			
1	HDFS-6674	security			
0	HDFS-8341	balancer & mover			
1	HDFS-4224	datanode			
0	HDFS-9054	namenode			
0	HDFS-9032				
0	HDFS-6290	tools			
1	HDFS-8861	namenode			
0	HDFS-3660				
0	HDFS-7973				
0	HDFS-8700				
0	HDFS-5319				
0	HDFS-8504	hdfs-client			
0	HDFS-3488				
0	HDFS-4273				
0	HDFS-2203	namenode			
1	HDFS-274				
0	HDFS-7905	namenode			
0	HDFS-7808				
0	HDFS-979	namenode			
0	HDFS-3349	hdfs-client			
1	HDFS-6946				
0	HDFS-2381	build			
0	HDFS-5903	datanode			
0	HDFS-7895				
0	HDFS-6177				
0	HDFS-6501				
0	HDFS-6726				
0	HDFS-7220				
0	HDFS-7571				
0	HDFS-7289				
0	HDFS-7311				
0	HDFS-7422				
1	HDFS-4173	journal-node	namenode		
0	HDFS-4063	scripts	tools		
0	HDFS-924				
0	HDFS-7428	tools			
1	HDFS-1895	scripts			
0	HDFS-7038	build			
1	HDFS-2482				
0	HDFS-2483				
0	HDFS-6821				
0	HDFS-6091	journal-node			
0	HDFS-1248	datanode	namenode	test	
0	HDFS-901	build			
0	HDFS-6761				
1	HDFS-559	namenode			
0	HDFS-369				
0	HDFS-271				
1	HDFS-280				
0	HDFS-79				
0	HDFS-6415	namenode			
0	HDFS-6083				
0	HDFS-4670				
0	HDFS-5975	tools			
0	HDFS-8				
0	HDFS-5867	tools			
0	HDFS-431	fuse-dfs			
0	HDFS-160				
0	HDFS-5541	hdfs-client			
0	HDFS-5036	namenode			
1	HDFS-4939	ha	namenode		
0	HDFS-1269	hdfs-client			
0	HDFS-62				
0	HDFS-4711				
0	HDFS-4535	namenode			
0	HDFS-3947				
0	HDFS-4474	build			
0	HDFS-3801	namenode			
0	HDFS-3371				
0	HDFS-4069	scripts			
0	HDFS-3162	namenode			
0	HDFS-3748	federation	ha	test	
0	HDFS-3253				
1	HDFS-2429	webhdfs			
0	HDFS-3237				
0	HDFS-2033				
0	HDFS-3366				
0	HDFS-798	build			
1	HDFS-3074	namenode			
0	HDFS-2162	ha	namenode		
0	HDFS-238				
0	HDFS-155				
0	HDFS-2783	ha			
0	HDFS-1863	datanode			
0	HDFS-973	datanode			
0	HDFS-36				
0	HDFS-497	hdfs-client			
0	HDFS-131				
0	HDFS-71				
0	HDFS-41				
0	HDFS-6				
1	HDFS-263				
1	HDFS-2201				
0	HDFS-1941	namenode			
0	HDFS-1874	datanode	namenode		
0	HDFS-2008				
0	HDFS-248				
1	HDFS-284				
0	HDFS-925	hdfs-client			
1	HDFS-639				
0	HDFS-414				
1	HDFS-164				
0	HDFS-70				
0	HDFS-266				
0	HDFS-417				
0	HDFS-307				
0	HDFS-1710	build			
0	HDFS-1569	scripts			
0	HDFS-1246	test			
0	HDFS-1175	contrib/raid			
0	HDFS-165				
1	HDFS-516				
0	HDFS-50				
0	HDFS-14217	datanode	namenode		
0	HDFS-11607	hdfs			
0	HDFS-9836	ha			
0	HDFS-9492	namenode			
0	HDFS-12065	erasure-coding			
1	HDFS-4394	namenode	test		
0	HDFS-4981	snapshots			
0	HDFS-3805				
0	HDFS-8390				
0	HDFS-3621	hdfs-client			
0	HDFS-2530	test			
0	HDFS-7631				
0	HDFS-2892	namenode			
0	HDFS-7297	test			
0	HDFS-6669				
0	HDFS-5864	tools			
0	HDFS-5764				
0	HDFS-4881	datanode			
0	HDFS-5179				
0	HDFS-3994	hdfs-client			
0	HDFS-2279	test			
0	HDFS-3855	datanode			
0	HDFS-2987	datanode			
0	HDFS-3327				
0	HDFS-1266				
0	HDFS-416				
0	HDFS-1916	documentation			
0	HDFS-1545	tools			
0	HDFS-13952				
0	HDFS-12515	ozone			
0	HDFS-12461	ozone			
0	HDFS-12029	datanode			
0	HDFS-8662	ha			
0	HDFS-5553	ha	hdfs-client		
0	HDFS-5550	ha	hdfs-client		
0	HDFS-8475				
0	HDFS-9471	webhdfs			
0	HDFS-2329	namenode			
0	HDFS-7646				
0	HDFS-7288				
0	HDFS-4901	security	webhdfs		
0	HDFS-2498	test			
0	HDFS-3354	documentation			
0	HDFS-1515	test			
1	HDFS-1576	namenode			
1	HDFS-650				
0	HDFS-990	namenode			
0	HDFS-794	build	test		
0	HDFS-13828	datanode			
0	HDFS-13221	ozone			
0	HDFS-12688	hdfs			
0	HDFS-12088	erasure-coding	hdfs		
0	HDFS-10365	hdfs			
0	HDFS-10483	native			
0	HDFS-5773				
0	HDFS-8485				
1	HDFS-8954	datanode			
0	HDFS-6762	build			
0	HDFS-3122	datanode	namenode		
0	HDFS-2473	hdfs-client			
0	HDFS-1574	namenode			
0	HDFS-43				
0	HDFS-148				
0	HDFS-3903				
0	HDFS-1040				
0	HDFS-13817	federation			
0	HDFS-14014				
0	HDFS-14062	webhdfs			
0	HDFS-14012	hdfs-client			
0	HDFS-12782	erasure-coding			
0	HDFS-12936	datanode			
0	HDFS-13874	namenode			
0	HDFS-13205	snapshots			
0	HDFS-13680	httpfs			
0	HDFS-12962	ozone			
0	HDFS-12734	ozone			
0	HDFS-13394	ozone			
0	HDFS-8675	datanode			
0	HDFS-13247	datanode			
0	HDFS-12654	hdfs	httpfs	namenode	
0	HDFS-13105	datanode			
0	HDFS-13104	namenode			
0	HDFS-12087	hdfs			
0	HDFS-13038				
0	HDFS-12331	ozone			
0	HDFS-12527	documentation			
0	HDFS-12413	erasure-coding			
0	HDFS-10269				
0	HDFS-12326	hdfs-client			
1	HDFS-12201	snapshots			
0	HDFS-12109	fs			
0	HDFS-11752	datanode	hdfs		
1	HDFS-9473				
0	HDFS-11917	nfs			
0	HDFS-11599				
0	HDFS-11857				
0	HDFS-11746	ozone			
0	HDFS-5567	caching			
0	HDFS-11683	erasure-coding			
0	HDFS-11552				
